seed_type,run,scov_type,time,scov
Manual,5,leaves_size,1709080524,4
Manual,5,SM_num,1709080524,156
Manual,5,TPC_cov,1709080524,4843
Manual,5,leaves_size,1709080524,4
Manual,5,SM_num,1709080524,156
Manual,5,TPC_cov,1709080524,4843
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4867
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4869
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4920
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4926
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4941
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4941
Manual,5,leaves_size,1709080524,7
Manual,5,SM_num,1709080524,207
Manual,5,TPC_cov,1709080524,4927
Manual,5,leaves_size,1709080524,5
Manual,5,SM_num,1709080524,173
Manual,5,TPC_cov,1709080524,4849
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4861
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4920
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4922
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4941
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4942
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4942
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4927
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4942
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4857
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4861
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4861
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4867
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4867
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4869
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4920
Manual,5,leaves_size,1709080524,4
Manual,5,SM_num,1709080524,156
Manual,5,TPC_cov,1709080524,4829
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4865
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4869
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4920
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4922
Manual,5,leaves_size,1709080524,6
Manual,5,SM_num,1709080524,190
Manual,5,TPC_cov,1709080524,4926
Manual,5,leaves_size,1709080524,8
Manual,5,SM_num,1709080524,224
Manual,5,TPC_cov,1709080524,4941
Manual,5,leaves_size,1709080525,8
Manual,5,SM_num,1709080525,224
Manual,5,TPC_cov,1709080525,4943
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,4984
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,4984
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,4990
Manual,5,leaves_size,1709080525,8
Manual,5,SM_num,1709080525,224
Manual,5,TPC_cov,1709080525,4942
Manual,5,leaves_size,1709080525,8
Manual,5,SM_num,1709080525,224
Manual,5,TPC_cov,1709080525,4955
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,4996
Manual,5,leaves_size,1709080525,8
Manual,5,SM_num,1709080525,224
Manual,5,TPC_cov,1709080525,4943
Manual,5,leaves_size,1709080525,8
Manual,5,SM_num,1709080525,224
Manual,5,TPC_cov,1709080525,4947
Manual,5,leaves_size,1709080525,8
Manual,5,SM_num,1709080525,224
Manual,5,TPC_cov,1709080525,4952
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,4977
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,4994
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,5007
Manual,5,leaves_size,1709080525,9
Manual,5,SM_num,1709080525,241
Manual,5,TPC_cov,1709080525,5010
